Дата/время,"Trade ID",Тип,"Валютная пара",Количество,Цена,Сумма,"Тип комиссии","Размер комиссии","Комиссия %"
"07.11.2021 07:47",328202099,buy,SMART_EUR,473.83448863,0.0044,2.08487174,maker,1.42150346,0.3%
"07.11.2021 07:17",328197055,sell,TONCOIN_BTC,10.96700001,0.00004,0.00043868,maker,0.00000131,0.3%
"07.11.2021 04:15",328166010,sell,TONCOIN_BTC,15.952,0.00003,0.00047856,maker,0.00000143,0.3%
"07.11.2021 03:41",328160628,sell,TONCOIN_BTC,10.80439,0.000025,0.0002701,maker,0.00000081,0.3%
"06.11.2021 20:56",328086467,buy,SMART_RUB,1752.22750002,0.36,630.8019,maker,5.2566825,0.3%
"06.11.2021 20:31",328081550,buy,DAI_ETH,7.36313636,0.00022,0.00161988,maker,0.0220894,0.3%
"06.11.2021 20:28",328080777,sell,BTT_RUB,1785.16796605,0.27,481.99535083,maker,1.44598605,0.3%
"06.11.2021 13:28",327994873,buy,XLM_RUB,12.01892174,25,300.4730435,maker,0.03605676,0.3%
"06.11.2021 12:57",327988046,sell,XLM_RUB,11.64496,26,302.76896,maker,0.90830688,0.3%
"06.11.2021 12:33",327982576,sell,DAI_ETH,7.06415287,0.00023,0.00162475,maker,0.00000487,0.3%
"06.11.2021 11:34",327966849,buy,DAI_ETH,5.84019001,0.00022,0.00128484,maker,0.01752057,0.3%
"06.11.2021 11:34",327966848,buy,DAI_ETH,1.24521908,0.00022,0.00027394,maker,0.00373565,0.3%
"06.11.2021 11:30",327965860,buy,XLM_RUB,11.68,25,292,maker,0.03504,0.3%
"06.11.2021 11:05",327958508,buy,BTT_RUB,1790.5395848,0.26,465.54029204,maker,5.37161875,0.3%
"06.11.2021 11:02",327955012,sell,DAI_ETH,6.79772728,0.00023,0.00156347,maker,0.00000469,0.3%
"06.11.2021 10:36",327947366,sell,TONCOIN_BTC,3.77137052,0.0000197,0.00007429,taker,0.00000022,0.3%
"06.11.2021 10:36",327947365,sell,TONCOIN_BTC,7.22862948,0.00001971,0.00014247,taker,0.00000042,0.3%
"06.11.2021 07:32",327915963,sell,SMART_RUB,1710,0.37,632.7,maker,1.8981,0.3%
"06.11.2021 05:48",327897884,sell,SMART_EUR,21.94562509,0.00450612,0.09888962,taker,0.00029666,0.3%
"06.11.2021 05:48",327897883,sell,SMART_EUR,439.31921828,0.00453487,1.99225554,taker,0.00597676,0.3%
"06.11.2021 00:57",327851734,buy,DAI_ETH,3.11452859,0.00022,0.00068519,maker,0.00934358,0.3%
"05.11.2021 20:36",327808896,buy,SMART_EUR,126.63575832,0.0044,0.55719733,maker,0.37990727,0.3%
"05.11.2021 20:21",327805139,buy,SMART_EUR,334.27270531,0.0044,1.4707999,maker,1.00281811,0.3%
"05.11.2021 19:36",327797190,buy,SMART_RUB,1716.88977444,0.36,618.08031879,maker,5.15066932,0.3%
"05.11.2021 18:17",327782988,sell,ROOBEE_BTC,2100,0.00000012,0.000252,maker,0.00000075,0.3%
"05.11.2021 17:33",327775745,buy,ROOBEE_BTC,2219.81818181,0.00000011,0.00024417,maker,6.65945454,0.3%
