Дата/время,"Trade ID",Тип,"Валютная пара",Количество,Цена,Сумма,"Тип комиссии","Размер комиссии","Комиссия %"
"10.10.2022 07:08",424286476,sell,EXM_BTC,437.36707318,0.00000083,0.00036301,maker,0.00000036,0.1%
"10.10.2022 04:33",424259812,sell,EXM_BTC,295.13666668,0.00000082,0.00024201,taker,0.00000024,0.1%
"09.10.2022 21:53",424193129,buy,EXM_BTC,295.43209877,0.00000081,0.0002393,maker,0.29543209,0.1%
"09.10.2022 14:41",424117914,buy,EXM_BTC,437.80487805,0.00000082,0.000359,maker,0.43780487,0.1%
"08.10.2022 18:20",423911396,buy,EXM_BTC,821.68674699,0.00000083,0.000682,maker,0.82168674,0.1%
"08.10.2022 18:16",423910840,buy,EXM_BTC,198.85714287,0.00000084,0.00016704,taker,0.19885714,0.1%
"08.10.2022 18:16",423910839,buy,EXM_BTC,88.14285713,0.00000084,0.00007403,taker,0.08814285,0.1%
"08.10.2022 18:07",423909145,sell,EXM_BTC,283.79925,0.00000085,0.00024122,maker,0.00000024,0.1%
"08.10.2022 18:07",423909138,sell,EXM_BTC,812.8610241,0.00000084,0.0006828,maker,0.00000068,0.1%
"08.10.2022 18:07",423909106,sell,EXM_BTC,432.9324878,0.00000083,0.00035933,maker,0.00000035,0.1%
"08.10.2022 16:28",423892764,sell,XLM_RUB,75.78143939,8,606.25151512,maker,1.81875454,0.3%
"08.10.2022 15:11",423880087,sell,SMART_BTC,37239.2235,0.00000003,0.00111717,maker,0.00000111,0.1%
"08.10.2022 04:50",423775778,buy,EXM_BTC,433.36585365,0.00000082,0.00035535,maker,0.43336585,0.1%
"08.10.2022 04:37",423773616,buy,EXM_BTC,813.67469879,0.00000083,0.00067534,taker,0.81367469,0.1%
"07.10.2022 16:24",423647085,sell,EXM_BTC,804.7846839,0.00000084,0.00067601,maker,0.00000067,0.1%
"07.10.2022 15:15",423632523,sell,EXM_BTC,428.571,0.00000083,0.00035571,maker,0.00000035,0.1%
"06.10.2022 19:18",423428189,sell,CRON_BTC,34.94502001,0.000009,0.0003145,maker,0.00000031,0.1%
"06.10.2022 16:49",423401815,buy,ROOBEE_USDT,731.62098347,0.000749,0.54798411,taker,0.73162098,0.1%
"06.10.2022 16:49",423401814,buy,ROOBEE_USDT,1000,0.000747,0.747,taker,1,0.1%
"06.10.2022 16:49",423401813,buy,ROOBEE_USDT,100.05660802,0.00074699,0.07474128,taker,0.1000566,0.1%
"06.10.2022 16:49",423401812,buy,ROOBEE_USDT,1352.762046,0.000743,1.0051022,taker,1.35276204,0.1%
"06.10.2022 15:22",423386443,sell,ROOBEE_USDT,2833.44645476,0.0009,2.5501018,maker,0.0025501,0.1%
